league,season,team,player,nation_,pos_,age_,born_,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK
ENG-Premier League,2526,Manchester Utd,Ayden Heaven,ENG,DF,19-206,2006,14,8,654,7.3,0,1,1,0,0,0,2,0,0.0,0.14,0.14,0.0,0.14
ENG-Premier League,2526,Manchester Utd,Bendito Mantato,ENG,MF,18-081,2008,1,0,16,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2526,Manchester Utd,Benjamin Šeško,SVN,FW,22-320,2003,27,14,1432,15.9,9,1,10,9,0,0,2,0,0.57,0.06,0.63,0.57,0.63
ENG-Premier League,2526,Manchester Utd,Bruno Fernandes,POR,MF,31-220,1994,29,29,2524,28.0,8,17,25,4,4,6,4,0,0.29,0.61,0.89,0.14,0.75
ENG-Premier League,2526,Manchester Utd,Bryan Mbeumo,CMR,"MF,FW",26-252,1999,27,26,2208,24.5,9,3,12,9,0,0,4,0,0.37,0.12,0.49,0.37,0.49
ENG-Premier League,2526,Manchester Utd,Casemiro,BRA,MF,34-052,1992,30,29,2221,24.7,8,2,10,8,0,0,10,1,0.32,0.08,0.41,0.32,0.41
ENG-Premier League,2526,Manchester Utd,Diogo Dalot,POR,"MF,DF",27-029,1999,30,25,2254,25.0,1,3,4,1,0,0,5,0,0.04,0.12,0.16,0.04,0.16
ENG-Premier League,2526,Manchester Utd,Harry Maguire,ENG,DF,33-042,1993,18,14,1203,13.4,1,1,2,1,0,0,3,1,0.07,0.07,0.15,0.07,0.15
ENG-Premier League,2526,Manchester Utd,Jack Fletcher,ENG,MF,19-028,2007,3,0,108,1.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2526,Manchester Utd,Joshua Zirkzee,NED,"FW,MF",24-329,2001,18,4,523,5.8,2,1,3,2,0,0,1,0,0.34,0.17,0.52,0.34,0.52
ENG-Premier League,2526,Manchester Utd,Kobbie Mainoo,ENG,MF,20-362,2005,22,10,1122,12.5,0,2,2,0,0,0,0,0,0.0,0.16,0.16,0.0,0.16
ENG-Premier League,2526,Manchester Utd,Leny Yoro,FRA,DF,20-154,2005,29,18,1705,18.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2526,Manchester Utd,Lisandro Martínez,ARG,DF,28-088,1998,15,10,963,10.7,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2526,Manchester Utd,Luke Shaw,ENG,DF,30-278,1995,32,32,2705,30.1,0,1,1,0,0,0,6,0,0.0,0.03,0.03,0.0,0.03
ENG-Premier League,2526,Manchester Utd,Manuel Ugarte,URU,MF,25-005,2001,22,8,887,9.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2526,Manchester Utd,Mason Mount,ENG,MF,27-096,1999,18,10,817,9.1,3,0,3,3,0,0,0,0,0.33,0.0,0.33,0.33,0.33
